  Sequence_position,Sample_name   ,Cd_111,Hg_202,Pb_208,In_115,Ir_193
7,Blank,11.7,235.7,94.7,368098.6,368098.6
,  RSD,17.80%,3.30%,5.20%,0.90%,0.90%
8,Blank,10,234.3,103.3,334352.6,334352.6
,  RSD,30.00%,1.30%,8.50%,0.80%,0.80%
9,Blank,7.3,201.7,92.3,318420.6,318420.6
,  RSD,15.70%,1.90%,2.30%,0.40%,0.40%
10,0.0004 ppb metal standard,5,115,72.3,301244.2,301244.2
,  RSD,0.00%,3.50%,10.40%,0.90%,0.90%
11,0.002 ppb metal standard,10,121.7,76,290161.6,290161.6
,  RSD,10.00%,3.70%,2.30%,0.90%,0.90%
12,0.02 ppb metal standard,27.7,339.7,136,285631.2,285631.2
,  RSD,17.80%,8.70%,10.30%,2.30%,2.30%
13,0.1 ppb metal standard,81,1085,394,273298.4,273298.4
,  RSD,3.30%,4.30%,6.00%,1.30%,1.30%
14,0.5 ppb metal standard,354.3,4293.6,1507.4,268562.5,268562.5
,  RSD,1.60%,0.50%,2.20%,1.30%,1.30%
15,1 ppb metal standard,733.7,9501.8,3240,265543.4,265543.4
,  RSD,1.00%,0.50%,0.80%,1.80%,1.80%
16,5 ppb metal standard,3438.7,43822.8,15038.2,258727.6,258727.6
,  RSD,0.60%,0.50%,0.50%,0.80%,0.80%
17,10 ppb metal standard,7343.2,95270.6,33075.6,261541.5,261541.5
,  RSD,1.10%,0.30%,0.70%,0.50%,0.50%
19,Blank,8,200.7,75.7,259771.7,259771.7
,  RSD,45.10%,6.20%,6.00%,0.90%,0.90%
20,Blank,6.7,180.7,81.3,256097.6,256097.6
,  RSD,31.20%,6.10%,3.10%,1.20%,1.20%
21,1 ppb standard,716.4,9540.5,3374.1,255646.5,255646.5
,  RSD,2.00%,0.90%,1.10%,2.10%,2.10%
22,Blank,5.3,197,81.7,257869.1,257869.1
,  RSD,10.80%,12.40%,8.30%,2.40%,2.40%
23,HW-1,4.3,87,70,250576.1,250576.1
,  RSD,48.00%,20.10%,23.80%,1.40%,1.40%
24,HW-2,4.7,91.7,72.7,250741.1,250741.1
,  RSD,44.60%,14.60%,12.30%,1.70%,1.70%
26,AW-1,5.3,69.3,70.3,249257.6,249257.6
,  RSD,47.20%,8.80%,2.20%,1.20%,1.20%
27,AW-2,3,80.7,66.7,251540.6,251540.6
,  RSD,0.00%,24.90%,1.70%,0.20%,0.20%
28,1 ppb standard,713.4,9316.4,3359.4,251568.4,251568.4
,  RSD,6.00%,0.70%,1.40%,0.70%,0.70%
29,Blank,6.7,183,94,251073.9,251073.9
,  RSD,31.20%,0.00%,8.40%,1.00%,1.00%
30,AW-3,4.7,87,67,252083.4,252083.4
,  RSD,24.70%,9.20%,14.90%,0.80%,0.80%
31,D-1,7,79.7,202.7,248305.5,248305.5
,  RSD,79.50%,13.20%,10.90%,1.90%,1.90%
32,D-2,6,84,107.3,254276.8,254276.8
